,questions,answers
12717,D'Artagnan!,"Athos, my friend!"
12718,I know.,Oh my friend.
12719,"Athos, please...!",Get out of my way.
12720,Get out of my way.,"Athos, I beg you --"
12721,Phillippe...?,How did you --
12722,Are you hungry?,Just... water.
12723,Where is Michelle?,There.
12724,Phillippe!,I am unhurt --
12725,You dead yet?,"No, Keeper."
12726,"Food, moron.","Thank you, Keeper."
12727,Captain Doyle?,Yeah?
12728,It's Marvosa -,What do you need?
12729,Yeah?,Where are you?
12730,Where are you?,We're by Ozone...
12731,We're by Ozone...,You set to go -
12732,You set to go -,What do you think?
12733,Did you hit him?,I didn't hit shit!
12734,Find out for me.,Fine...
12735,Let's roll -,Right behind you.
12736,Are you alright?,I'll live...
12737,Captain?,Yeah?
12738,Up north.,Where up north?
12739,Where up north?,Seattle.
12740,Seattle.,You got any family?
12741,No.,Only on dates?
12742,"Jesus, man...",Please...
12743,And?...,I killed them.
12744,How long do I have?,Twenty minutes max.
12745,No.,Why not?
12746,Is it weird?,The mark? Yes.
12747,Who did he ask for?,You.
12748,Get me a plane...,"Wait, Will..."
12749,"Wait, Will...",Get me a plane!
12750,Will...?,What?
12751,Tonic will be fine.,In the kitchen.
12752,No. Reba...?,Are you okay...?
12753,You'll come by?,Yes.
12754,Who is it?,It's me.
12755,It's me.,Who?
12756,Who?,Me.
12757,Me.,Francis...?
12758,Do you see?,Yes.
12759,Do you see?,Yes.
12760,"Oh, God.",Do you see?
12761,Do you see?,"Please, no."
12762,"Please, no.",'No' what?
12763,'No' what?,Not me.
12764,Not me.,Are you a man?
12765,Are you a man?,Yes.
12766,Come in.,Dr. Chilton.
12767,Dr. Chilton.,Yes?
12768,Linda King's desk.,"Hi, Linda. .."
12769,No. I can help you.,I don't understand.
12770,He's right-handed.,Most people are.
12771,Most people are.,He's misunderstood.
12772,"Blue, then.",Blue is cold.
12773,No.,Then why?
12774,Can you quit?,No.
12775,What's that?,Tell her I called.
12776,Go on to the house.,Lt. Fisk said...
12777,Did the girl die?,No.
12778,No.,She got all right?
12779,She got all right?,...after a while.
12780,...after a while.,And Hobbs died?
12781,And Hobbs died?,...yes.
12782,What disadvantage?,You're insane.
12783,Yes.,Pictures?
12784,Pictures?,Yes.
12785,You have to do it.,I refuse.
12786,Andy?,Hi George!
12787,Andy!,What's up?
12788,Andy!,Oh!
12789,Five.,Twenty!
12790,Twenty!,Ten.
12791,Ten.,Deal.
12792,Hi...,Hi... am I late?
12793,Popcorn?,No thanks.
12794,Hi...,Hi... am I late?
12795,Popcorn?,No thanks.
12796,Go away.,It's me.
12797,It's me.,"Oh, it's open."
12798,GET OFF!,DON'T TOUCH ME!
12799,I'm gonna quit.,What?!?
12800,"Excuse me, Andy...","Yes, your Holiness?"
12801,Are you sure?,Positive.
12802,I saw Michael!,Where?
12803,Where?,There!
12804,Sure...,What's your name?
12805,What's your name?,Bob.
12806,You don't know.,Know what?
12807,Hurry!,They won't make it.
12808,Lieutenant?,Oh shit.
12809,Weird.,What?
12810,What?!,"Oh, God."
12811,Who is it?,It's Choi.
12812,You got the money?,Two grand.
12813,Did you hear that?,Hear what?
12814,He had an accident.,An accident?!
12815,... yes.,No!
12816,Sorry.,"No, it's all right."
12817,"No, it's all right.",What are you doing?
12818,What are you doing?,Midnight watch.
12819,Is that...?,The Matrix?  Yeah.
12820,Why you're here?,... Yeah.
12821,Dead.  All dead.,How?
12822,Are they any agent?,Yes.
12823,Yes.,Goddamnit!
12824,All right --,Go.
12825,Right now?,Yes.  Now.
12826,Holy fucking shit!,Yes.
12827,But what if...?,Go!  Now!
12828,No.,Why not?
12829,This can't be...,Be what?  Be real?
12830,... am I dead?,Far from it.
12831,For what?,Your training.
12832,Yeah.,Look again.
12833,Set down in there.,What's going on?
12834,The beginning?,Of the Resistance.
12835,She helped you?,Yes.
12836,That vase.,"Shit, I'm sorry."
12837,Who are you?,My name is Trinity.
12838,Gee-zus.,What?
12839,From what?,From you.
12840,God...,What?
12841,But an Oracle can.,That's different.
12842,That's different.,Is it?
12843,Is it?,Are you worried?
12844,Are you worried?,Should I be?
12845,Should I be?,No.
12846,Did you go to her?,Yes.
12847,Are you all right?,... right as rain.
12848,Go!,We can't leave him!
12849,We can't leave him!,We have to!
12850,You can't!,I have to.
12851,Why?,Because...
12852,See who?,The Oracle.
12853,Operator.,"Tank, it's me."
12854,"Tank, you're hurt.",I'll be all right.
12855,I'll be all right.,Dozer?
12856,Know where he is?,Follow me.
12857,Yeah.,Ok.  Wait here.
12858,Who's the girl?,Jewish...
12859,Jewish...,How do you know?
12860,Where to?,Kennedy.
12861,Nervous?,Yeah.
12862,Yeah.,You flew before?
12863,You flew before?,No.
12864,What do you mean?,Didn't show up.
12865,"Hey, shut up.",Get him in.
12866,Disgraceful.,Ok...that's it.
12867,Out!!!!,C'mon Johnny.
12868,How much?,$20.
12869,Take a drink!,Ok.
12870,What was it?,Nothing.
12871,"""Francis Macomber.""",Wha?
12872,Please take it.,Well...
12873,Well...,I don't mind.
12874,"Maybe, who knows.",Charlie...?
12875,What is it now?,Don't ask.
12876,Did you?,No.
12877,Scumbag--, Shut up.
12878,Can you spare it?,Sure.
12879,Sure.,Thanks.
12880,He's coming.,His wife?
12881,Just plain 'Joe'?,Love that name.
12882,That was 'Joe'.,He's cute.
12883,He's cute.,Very.
12884,Daddy!,"Hi, Allison --"
12885,What is this?,Annie made them.
12886,Annie made them.,Who's Annie?
12887,"Yeah, but --",But what?
12888,Red or white?,Both.
12889,"Hello, Beautiful.",Hi.
12890,Well... goodnight.,Yeah.  Goodnight.
12891,Here...,'Here'?
12892,"Why yes, thank you.",Hot or cold.
12893,Hot or cold.,Cold.
12894,Cold.,And a glass.
12895,Yes.,"""Death and Taxes""?"
12896,Of whom?,It doesn't matter.
12897,May I interrupting?,Yes.
12898,A voice?,In my sleep.
12899,In my sleep.,What'd it say?
12900,What'd it say?,'Yes'.
12901,'Yes'.,'Yes' to the deal?
12902,I'm all excited --,"Me, too."
12903,'Joe...',Yes.
12904,No.,'Just kidding'?
12905,'Just kidding'?,"Sit down, Drew."
12906,Mind if I throw up?,"Please, Drew."
12907,Whose?,Yours.
12908,Not time yet.,Make it time.
12909,Yes.,My Doctor Lady?
12910,My Doctor Lady?,"Mine, too."
12911,Yah.,You loved back?
12912,You loved back?,I am.
12913,No.  Nothing.,Nothing?
12914,Black.,"Hey, this is fun."
12915,Thanks.,You're welcome.
12916,"Oh yes, I do.",How did you meet?
12917,Do you love Drew?,Come again?
12918,I don't have any.,I can see why.
12919,Susan?,Yes?
12920,Watch me do what?,Whatever you do.
12921,"Joe, I'm with Drew.",Not now.
12922,I appreciate you --,Excuse me?
12923,"No, I'm not.",Girlfriend?
12924,Girlfriend?,No.
12925,No.,Gay?
12926,Gay?,No.
12927,To bed.,'To bed'?
12928,'To bed'?,Yes.  I'm tired.
12929,Almost.,I said get out.
12930,Thank you.,It was everything.
12931,You're here?,I am.
12932,Susan --,-- Yes?
12933,Good morning.,"Good morning, Bill."
12934,Sounds fair enough.,It is a deal?
12935,It is a deal?,A 'deal'?
12936,Bill --,Yes?
12937,Yes?,You've got a deal.
12938,Joe --?,"Yes, Bill."
12939,I want to live.,I understand.
12940,What's it like?,What do you mean?
12941,Yes.,So can I.
12942,I guess...,About Susan?
12943,Okay.  Goodnight.,Goodnight.
12944,"I'm sorry, Bill --",That's okay.
12945,That's okay.,What's okay?
12946,Uh --,Yes?
12947,You are?,Yeah.
12948,Thanks.,Not at all.
12949,Okay.,Get him in here.
12950,You are --?,'...Yes --'
12951,Yes.,Death!
12952,Death!,That's me.
12953,I think you know --,I don't!
12954,What do you mean?!,I think you know --
12955,Where are you?,I'm here.
12956,Get what?,Time.
12957,Watch it!,I'm sorry --
12958,"Good morning, Dad.","Hi, honey."
12959,How did you know?,Drew told me.
12960,Bravo.,"Aw, you're tough."
12961,We've met.,What?!
12962,Then what is it?,It's something.
12963,Where's Joe?,Joe?
12964,Where is he?,I don't know.
12965,Are you relieved?,"Yes, but --"
12966,What's the way?,Nothing lasts.
12967,Nothing lasts.,I agree --
12968,I agree --,Why?
12969,I could be her.,'Her'.
12970,No --,Y'didn't?
12971,47.,I think I know her.
12972,69.,From what?
12973,That's it?,That's it.
12974,Condition?,I have no memory.
12975,I have no memory.,Amnesia?
12976,My wife.,What's it like?
12977,Shit. Wrong room.,What?
12978,This isn't my room?,"No, let's go."
12979,I like your car.,Thanks.
12980,Thanks.,Where'd you get it?
12981,Deals?,It's isolated.
12982,Sleep okay?,Yeah. You?
12983,Did you?,What?
12984,What?,Kill him.
12985,Kill him.,Course not.
12986,His name was Jimmy.,What happened?
12987,I'll go see him.,And? 
12988,Yeah?,"Yeah, I hated it."
12989,Who?,Calls himself Dodd.
12990,Calls himself Dodd.,What does he want?
12991,Did you?,No!
12992,Neither do I.,Don't protect him.
12993,Don't protect him.,I'm not.
12994,I'm not.,Help me.
12995,Help me.,How?
12996,On the house.,Thanks.
12997,My wife.,Sweet.
12998,Sweet.,Dying.
12999,Dying.,What?
13000,"Beer, please.",What do you want?
13001,What do you want?,"A BEER, please."
13002,Did Teddy send you?,I don't know.
13003,Yup?,Mr Gammell?
13004,Mr Gammell?,"Lenny, is that you?"
13005,"Lenny, is that you?",John Gammell?
13006,You don't know him?,No! Should I?
13007,Teddy. Your buddy.,Prove it.
13008,"Yes, I will.","No, you won't."
13009,"No, you won't.","Somehow, I'll know!"
13010,"Somehow, I'll know!",You won't remember!
13011,Yeah.,What's your twenty?
13012,And...?,"""And"" what?"
13013,Sal Maguda.,He any good?
13014,He any good?,"Oh, yeah..."
13015,I don't know.,Yes you do...
13016,Make it 40%.,Make it 35.
13017,Make it 35.,Deal.
13018,You do.,When?
13019,When?,Right now.
13020,We want it back.,Okay.
13021,It goes very fast.,Show me...?
13022,The Keys?,Havana.
13023,Where's she now?,She's dead...
13024,No.,I insist.
13025,Is it December?,What do you mean?
13026,"Hola, chica.","Hola, viejo."
13027,Of course.,Where would I go?
13028,What is it?,Alonzo...
13029,Alonzo...,Stevens?
13030,Stevens?,Something's wrong.
13031,Anything?,Nothing.
13032,What do we got?,Five minutes...
13033,Where?,Verdado.
13034,Verdado.,Verdado where?
13035,"Hey, fuck him.",Chill out Sonny.
13036,How?,We don't know.
13037,Yeah...?,Sonny...?
13038,Sonny...?,Yeah.
13039,Yeah.,Where's Riccardo?
13040,Where's Riccardo?,On the phone.
13041,Alonzo...!,Goodbye.
13042,You okay?,Yeah.
13043,Yeah.,You sure?
13044,You sure?,Yes.  What's up?
13045,That sonofabitch!,You set this up!
13046,What do you care?,Do we need this...?
13047,Alonzo...,What...?
13048,I ain't sleepy.,I know. Scribbage!
13049,For what?,For money.
13050,For money.,For money for what?
13051,You got a comb?,Don't need a comb.
13052,"Tell her, Ratso.",Twenty bucks...
13053,And what?,I'm scared.
13054,I'm scared.,What of?
13055,They gotta be.,Yeah.
13056,I'm wet.,You're what?
13057,What d'you want?,What?
13058,You got it.,No. You got it.
13059,Getchmis olsun,Getchmis...?
13060,Two kilos.,Where?
13061,It's there!,What?
13062,What?,Listen!
13063,What?,How's your hernia?
13064,Who?,Ziat!
13065,Shit.,Billy?
13066,DAD!,Oh Jesus! 
13067,Sure.,How far?
13068,Sixty Lira?,Sixty?
13069,I'll pay extra,How much?
13070,But just...,Just what?
13071,What they give you?,Twelve years.
13072,A hundred grams.,It's not fair!
13073,How long?,Seven years...
13074,"Hello, Billy.",Hello.
13075,You got your stuff?,Yeah.
13076,Okay?,Yeah!
13077,Yeah!,Jimmy?
13078,What time is it?,Two thirty.
13079,What?,I know where it is.
13080,Hishradyo.,Max - where?
13081,My passport!,No!
13082,"Cat, ah!  Ayip!",You're ayip!
13083,His name?,Who?
13084,Who?,The lawyer?
13085,"Hey, you can't...",What's your name?
13086,What's your name?,Jeremy...
13087,Peter...,Yeah...?
13088,Weird shit...?,Take a look.
13089,And a right.,Right.
13090,I only got...,Just do it!
13091,What do you-?,Go!! Just go!!
13092,He didn't do it!,What?
13093,Please.,You did!
13094,"Oh, no, you were-",I was just late.
13095,What-,Just do it!!
13096,Peter-,It worked before...
13097,C'mon...,Ah...
13098,Ah...,Talk to me.
13099,Talk to me.,Peter...
13100,No...,We can do it!
13101,What?,She used a baster.
13102,It bit you.,No shit.
13103,My God.,What?
13104,Here.,What are they...?
13105,But what?,Nothing.
13106,Nothing.,"No, what is it?"
13107,Thank you so much.,My pleasure.
13108,I'm...,Done?
13109,Done?,"Yeah, thanks."
13110,"Yeah, thanks.",No problem.
13111,I DIDN'T...,Then who did?
13112,Show me the way?,Yes.
13113,What?,Nothing.
13114,Have to wait.,Not even a hint?
13115,Be my guest.,That's disgusting.
13116,What things?,You don't know?
13117,"Yes, Paul.",I'm almost done.
13118,"Hey, Pete.",Buster.
13119,How grateful?,Well that depends.
13120,Well that depends.,On what.
13121,How do you that.,Magic...
13122,Magic...,Ahh..
13123,Your room.,Mmmm.
13124,Mmmm.,And my room?
13125,You won.,I suppose I did.
13126,To win?,What else?
13127,To do what?,Sort it all out.
13128,"It is, Billy.",Then we got'em!
13129,Do you know me?,No.  Should I?
13130,Uh-huh.,Uh-huh?
13131,I wouldn't do that.,Do what?
13132,What's you name?,Ethan Hunt.
13133,Which is?,That they're lying.
13134,Much.,Then feel better!..
13135,"An idea, yeah.",Like?
13136,"That simple, huh?",Why not?
13137,Nekhorvich's boss?,Yep.
13138,Left jacket pocket?,Roger that.
13139,To friends.,"Yes, Anatoly, yes."
13140,That's S.O.P..,S.O.P..
13141,Satisfied?,All ten million.
13142,Is he serious?,Always.
13143,Take off your coat.,What?
13144,May I come in?,Sure...
13145,Kittridge...,Bastard!
13146,This is Kittridge.,Go secure.
13147,Go ahead.,Theyre dead.
13148,Theyre dead.,Whos dead?
13149,No sir.,One hour.
13150,Information.,What kind?
13151,What kind?,Profitable.
13152,That depends.,On what?
13153,Bank?,IMF mainframe.
13154,Zero body count.,We'll see.
13155,We'll see.,Time up.
13156,Claire.,Jack.
13157,Jack.  Jack.,I didn't touch it.
13158,Higher.  Higher.,Higher.
13159,Ive got a shadow.,Can you lose him?
13160,Can you lose him?,No.  Abort.
13161,You got it.,And get a doctor.
13162,And get a doctor.,Good luck.
13163,Loud and clear.,What's going on?
13164,What's going on?,I don't know.
13165,Such a nice ass.,And a lonely ass.
13166,Whats the problem.,Connection denied.
13167,Connection denied.,Try it again.
13168,Try it again.,Its not working.
13169,"No, I'm going.",The Shawfish?
13170,Cosmo?,What?
13171,"Thank you, Rose.",You're welcome.
13172,Where's Ma?,Bed.
13173,Bed.,You're not sleepy?
13174,Here.  Ti amo. ,Ti amo.
13175,Ti amo.,You look tired.
13176,You look tired.,What's your news?
13177,Again?,Yeah.
13178,The guy died.,What killed him?
13179,In a month.,I won't come.
13180,He did?,Yeah.
13181,Yes.,Why?
13182,Yes. Do you want...,I have no life.
13183,I have no life.,Excuse me.
13184,How'd he die?,Bus hit him.
13185,Bus hit him.,Fast.
13186,Fast.,Instantaneous.
13187,Why?,Why what?
13188,Why what?,I don't know.
13189,No.,Stupid.
13190,Just Johnny.,Stupid yourself.
13191,You think so?,Yes.
13192,Stop it!,No!
13193,Me neither.,I was dead.
13194,I was dead.,"I was dead, too."
13195,What?,That light.
13196,Oh my God.,What?
13197,What did you do?,What did I do?
13198,What did I do?,You ruined my life.
13199,I can't do that!,Why not?
13200,Snap out of it!,I can't!
13201,Hi.,Hi.
13202,Thank you!,For what?
13203,No thanks.,I think that's it.
13204,He didn't come!,I'm here!
13205,I'm here!,You're late!
13206,You're late!,We're here.
13207,This is your place.,That's right.
13208,Yeah.,I'm really afraid.
13209,I'm really afraid.,Why?
13210,I was.,And you're not now?
13211,Let me go home.,No.
13212,No.,Let me go home.
13213,Let me go home.,No.
13214,Ronny!,Is Johnny here?
13215,Is Johnny here?,He's coming.
13216,No. I'm gonna wait.,"Ronny, please..."
13217,Loretta?,What!
13218,What!,Will you marry me.
13219,Hi Loretta.,Hi.
13220,Have Something.,I shouldn't.
13221,I shouldn't.,Will you marry me?
13222,Will you marry me?,What?
13223,What?,Will you marry me?
13224,On the floor?,"Yes, on the floor."
13225,What time is it?,Seven-thirty.
13226,A month from today?,Yeah.
13227,What?,Where's the ring?
13228,Will you live here?,No.
13229,No.,Why not?
13230,Hi.,Where you been?
13231,Are you drunk?,No. Are you drunk?
13232,Did you see it?,No.
13233,No.,Oh.
13234,He should pay.,I don't know.
13235,So.,Where is she?
13236,It's late.,Yes.
13237,That's incredible.,Yes.
13238,Loretta...,Johnny...
13239,I'm sure she did.,It was a miracle!
13240,"Thanks, comrade.",It's nothing!
13241,You knew that man?,Yes.
13242,No.,People home.
13243,I'm freezing,Good night.
13244,Rita. Rita.,What? What?
13245,What? What?,Look.
13246,Look.,Oh.
13247,Oh.,It's Cosmo's moon.
13248,Is who down there?,Cosmo.
13249,She's got it.,I knew she had it.
13250,Please!,Am I right?
13251,Am I right?,I'm not interested.
13252,King of the WHO?,The Britons.
13253,The same!,Who are they?
13254,NI!,Oh!
13255,Oh!,NI!   NI!
13256,NI!   NI!,Oh!
13257,Yes ...,Now - go!
13258,You said it again!,"What, ""is""?"
13259,None shall pass.,What?
13260,What?,None shall pass.
13261,I move for no man.,So be it!
13262,I've had worse.,You're a liar.
13263,You're a liar.,Come on you pansy!
13264,Come on then.,What?
13265,Course I have.,Look!
13266,Stop that.,Had enough ... ?
13267,Had enough ... ?,I'll have your leg.
13268,You'll what ... ?,Come Here.
13269,I'm invincible!,You're a looney.
13270,What is your name?,"Bedevere, my Liege."
13271,Ni!,No.  No.  No!
13272,There!  Look!,What does it say?
13273,What?,A G...g...g...
13274,A G...g...g...,A Grail?
13275,Too late.,What?
13276,What?,There he is!
13277,Where?,There.
13278,There.,Behind the rabbit?
13279,Behind the rabbit?,It is the rabbit.
13280,It is the rabbit.,... You silly sod.
13281,... You silly sod.,What?
13282,Je...sus Christ!,I warned you!
13283,Old woman!,Man!
13284,I'm thirty-seven.,What?
13285,I feel fine.,Do me a favour.
13286,Blue.,Right.  Off you go.
13287,What is your quest?,To seek the Grail!
13288,Here's one!,Ninepence.
13289,"But, Mother ...","Father, lad."
13290,I don't want land.,"Listen, Alice ..."
13291,"Listen, Alice ...",Herbert.
13292,Yes?,If we ... er ... 
13293,Camelot ...,Camelot ...
13294,Sir Galahad!,Oh ... hello ...
13295,Oh ... hello ...,Quick!
13296,Quick!,Why?
13297,Sir Gawain.,Ector.
13298,You got my note!,Well ... yes ...
13299,"Brave, Sir Rob ...",Shut up.
13300,How much?,Seventy a year.
13301,Seventy a year.,"Not bad, not bad."
13302,"Not bad, not bad.",How about yourself?
13303,How about yourself?,Sixty.
13304,Aye.,She means it.
13305,What's this?,It's a diary.
13306,What's your name?,"Mary Taylor, sir."
13307,"Hey, Barney.","Mr Brown, sir --"
13308,Whom you address.,The future King!
13309,By whose authority?,My own.
13310,How will I know?,I'm sorry?
13311,Do you?,Yes.  I do.
13312,No.,I beg your pardon?
13313,I am a blank sheet.,Do you hunt?
13314,Do you hunt?,Occasionally.
13315,I'm fine.,You're injured.
13316,You're injured.,It's nothing.
13317,I'm not married.,Oh.
13318,Oh.,This is the top.
13319,I wouldn't know.,Surely --
13320,"Maybe, once.",Then I envy yo.
13321,Then I envy yo.,Why?
13322,I do what I do.,For Her Majesty.
13323,For Her Majesty.,Aye.
13324,They don't see it.,See what?
13325,The greasy pole.,No loyalty.
13326,No loyalty.,No love.
13327,Mr Brown.,Ma'am.
13328,"Aye, ma'am.",You are well?
13329,You are well?,I am.
13330,I am.,And the pony?
13331,And the pony?,"She's well, too."
13332,Mr Brown.,"Yes, ma'am."
13333,"Aye, ma'am.",Yes.
13334,What are those?,What?
13335,I am told so.,Who by?
13336,John?,"Yes, ma'am?"
13337,Ma'am?,Yes?
13338,What can we do?,"Oh, several things."
13339,Who?,Mrs Brown.
13340,"A fine choice, sir.",Excellent!
13341,"I'm sorry, ma'am?",Cold is good!
13342,Just them?,"Yes, ma'am."
13343,Read it.,Again?
13344,Again?,Read it!
13345,Who told them that?,I have no idea.
13346,I have no idea.,Why not?
13347,Why is he not here?,"He is sick, ma'am."
13348,Hello?,"Hey, kid."
13349,It's twelve-thirty!,I'm coming over.
13350,Where to now?,Laurie's.
13351,Change the channel!,What?!
13352,Then leave her.,We can't...
13353,It's already out.,"The Police, then..."
13354,SLIP-STREAM.,What?
13355,Dante's Inferno.,Yeah.  The Inferno.
13356,Alex...,You didn't hear me?
13357,One.  In case...,Don't even say it.
13358,Christ...no time...,There never is.
13359,Go for it.,"Hold my keys, then."
13360,Yes...,Thought so.
13361,Then we'll go home?,Then we'll go home.
13362,Which way?,That way.
13363,It's here!!!,Oh God...oh god...
13364,I'm thinking!,You have no time.
13365,And?,You're broke!
13366,You're broke!,But I'm not broke.
13367,Howdy!,Howdy to you.
13368,Beautiful night.,Yeah.
13369,It's unbelievable!,I told ya.
13370,I told ya.,Wow!
13371,Right. See ya.,"Good luck, honey!"
13372,Betty Elms?,Yes.
13373,No. I can't.,Was anyone hurt?
13374,Yes?,Diane?
13375,Diane?,Number 17.
13376,Number 17.,But it said #12.
13377,Mulholland Drive.,Mulholland Drive?
13378,There's nothing?,Not that I can see.
13379,Maybe it's not me.,Call the number.
13380,Do you know them?!,No... but...
13381,You feel it?,Yeah.
13382,Where at?,Palmdale.
13383,So what do we do ?,I'm working on it.
13384,So why this ?,Excuse me ?
13385,You okay ?,Fine...
13386,That's a shame.,Yeah a real shame.
13387,Is it over ?,Not quite....
13388,What's next Walt ?,A dragon.
13389,You okay ?,Ow...
13390,Knock yourself out.,Thanks...
13391,Don't.,What ?
13392,Not yet.,"But, he's..."
13393,"But, he's...",I said NO.
13394,When will that be ?,When you are ready.
13395,One moment dear... ,Sir ?
13396,What the ... ?,What happened ?
13397,Thank you.,I meant him.
13398,What ?,Nothing.
13399,Good morning.,Good morning.
13400,THANK YOU.,Don't mention it.
13401,Seriously?,Seriously.
13402,Seriously.,Great.
13403,Hi Dad.,Hi honey.
13404,Yeah.,Totally groovy huh?
13405,Totally groovy huh?,Totally.
13406,Maybe he's wet?,Maybe he's hungry.
13407,Oh.  Ohhh?,What're you saying?
13408,Hi.,Come on in!
13409,Come on in!,That's okay.
13410,That's okay.,It's just a corpse.
13411,It's just a corpse.,I know that.
13412,What's the matter?,He likes you.
13413,Hello.,Hi.
13414,My mother.,Your mother?
13415,I want juice!,Don't wake up Vada.
13416,Don't wake up Vada.,I won't.
13417,Thanks....,No THANKS!
13418,Vada.,WHAT??
13419,I'd never do that.,Get married?
13420,Get married?,Change my name.
13421,I think it's cool.,You would.
13422,Give it to me!,Come and get it.
13423,"Woah, watch it!",DON'T!!!
13424,DON'T!!!,Uh oh...
13425,...I dropped it.,In the tar??
13426,It's dangerous!!,Leave me alone!!
13427,What's he smoking?,What do you think?
13428,What do you think?,Really?
13429,Nick?,Yeah?
13430,Write me a poem?,
13431,,No?
13432,What's that?,Ten bucks.
13433,Ten bucks.,What's it for?
13434,Committed?,Committed.
13435,Lock the door.,Bye.
13436,He was caressing.,Phil for God sake.
13437,Bye Aunt Rose.,"Bye Niece, Vada."
13438,Good morning.,Well maybe for you.
13439,Well maybe for you.,Something wrong?
13440,Why not now?,What do you mean?
13441,Shelly?,Hey! Oh look.
13442,Hey! Oh look.,He's so tiny.
13443,Did it hurt a lot?,You have no idea.
13444,Let me hold him.,O.K.
13445,He's a great poet.,He is?
13446,He is?,Do you know him?
13447,Arthur!!,Vada!!
13448,You're such a baby.,"All right, here."
13449,Danny?,WHAT?
13450,Can't you see it?,No.
13451,No.,It's there.
13452,They're dead?,Yes they are.
13453,Yes they are.,Stiffs??
13454,Stiffs??,Deceased.
13455,Pardon?,I need the job.
13456,I wrote that.,No kidding?
13457,Home sweet home.,It's nice.
13458,Yeah.,Are you mad at me?
13459,Are you mad at me?,"No, why?"
13460,Dance with me?,Here?
13461,Do you want to?,Want to what?
13462,Want to what?,Kiss me.
13463,Kiss me.,Yes.
13464,Yes.,Good.
13465,Goodnight Shelly.,Goodnight.
13466,VADA!,Dad?
13467,Of course not.,Then who's it for?
13468,Dad?,I love this guy! 
13469,I love this guy! ,Dad??
13470,Dad??,What?
13471,What?,The money?
13472,When?,"Soon honey, soon."
13473,Hi Vada.,Hi.
13474,Hi.,What are you doing.
13475,What are you doing.,Feeding my fish.
13476,I'm very nervous.,Why?
13477,Hi.,"Hi, is Vada home?"
13478,Sure.,Thank you. Bye.
13479,Thank you. Bye.,Bye.
13480,I paid the money.,For this class?
13481,I wrote a poem too.,Please.
13482,He likes her.,Does he love her?
13483,Does he love her?,Probably.
13484,Probably.,Do you like her?
13485,Yes it is.,That's really cool.
13486,She's shy.,Oh.
13487,Who's winning?,I am.
13488,I would.,Thomas?
13489,Are you married?,"No, I'm divorced."
13490,"Uh huh, why?",See food!
13491,"I won, I won!!!",Oh great!!
13492,NO!,Yes!!
13493,Goodnight.,Goodnight.
13494,Thomas J?,I'm allergic to it.
13495,I'm allergic to it.,To chocolate?
13496,Oh no!  UUH.,Hurry!
13497,Hurry!,I'm trying.
13498,Uh huh.,"Okay, OW!"
13499,Your lip bleeding?,No.
13500,"No, I don't wanna.","Come on, it's fun."
13501,"Hmmmm, interesting.",What?
13502,Is that your Dad?,Yes.
13503,What?,Heaven.
13504,Here.,Don't DO that!!
13505,Don't DO that!!,Sorry.
13506,Pacifist!,I am not.
13507,I am not.,Bed wetter!
13508,Bed wetter!,I stopped that!
13509,Can we go yet?,Go???
13510,Woah!!,What?
13511,So?,Stand back.
13512,"Come on, let's go.",Bye Mrs. Sennett.
13513,Bye Mrs. Sennett.,Bye Ma.
13514,"No, I'm hiding out.","Okay, seeya."
13515,Like they do on TV?,Uh huh.
13516,Uh huh.,No.
13517,Just do it.,"Okay, okay."
13518,"Umm, Ummmmm","Just, hurry."
13519,Seeya tomorrow.,"Okay, seeya.  Vada?"
13520,"Okay, seeya.  Vada?",What?
13521,I was devastated.,Go figure you.
13522,Zit cream?,I wish.
13523,I wish.,Neosporin?
13524,Ben Gay.,That was Thursday.
13525,Two words.,Major.  Dish.
13526,Major.  Dish.,Manicure...
13527,Exactly.,Exactly what?
13528,What's the sec...,Mirrors.
13529,Such as.,She's too genuine.
13530,She's too genuine.,Hate that.
13531,"You miss her, huh?",No.  I've got you.
13532,Takes me back.,Well.
13533,Will she like it?,Yes.
13534,What happened?,It's over.
13535,What's up?,Shhh.
13536,Lower.,Lower.
13537,It's two weeks.,Almost three.
13538,You got the money?,Right here.
13539,What?,Grand Old Opera --
13540,Grand Old Opera --,I hate that music.
13541,I hate that music.,"I know that, Star."
13542,Winifred.,Hi! Star.
13543,I won first prize.,Come on.
13544,Is there food?,No.
13545,"Barnett, please -",What's wrong honey.
13546,Barnett?,What?
13547,You bet.,Okay. Thanks.
13548,Whose word?,His Word.
13549,What does he want?,Barbara Jean.
13550,Barbara Jean.,What!
13551,Whose?,Hal Phillip Walker.
13552,ABC.,How much?
13553,How much?,Minimum.
13554,Okay.,Okay.
13555,Bastard,Stop it!
13556,President?,When is it?
13557,You're kidding.,How come?
13558,"Well, Mr. Green.","Hi, Sherry."
13559,"Yes, sir.",Can I help you?
13560,What's this?,Replacement party.
13561,Replacement party.,Who's that?
13562,No.,Need a ride?
13563,You in music?,No.
13564,No.,Get in.
13565,What kind?,Nash.
13566,Nash.,What year?
13567,What year?,Sixty-three.
13568,Nashville.,Oh... Well.
13569,Oh... Well.,The car broke down.
13570,Bye.,Bye.
13571,About three years.,And before?
13572,Hello.,Linnea?
13573,Linnea?,Yes. Who's this?
13574,Yes. Who's this?,I'm here.
13575,I'm here.,Who is this?
13576,Who is this?,Tom. You remember?
13577,Hello.,Hi.
13578,Hello.,Wow!
